name,email,password
Seed User 1,user1@example.com,password8
Seed User 2,user2@example.com,password8
Seed User 3,user3@example.com,password8
Seed User 4,user4@example.com,password8
Seed User 5,user5@example.com,password8
Seed User 6,user6@example.com,password8
Seed User 7,user7@example.com,password8
Seed User 8,user8@example.com,password8
Seed User 9,user9@example.com,password8
Seed User 10,user10@example.com,password8
Seed User 11,user11@example.com,password8
Seed User 12,user12@example.com,password8
Seed User 13,user13@example.com,password8
Seed User 14,user14@example.com,password8
Seed User 15,user15@example.com,password8
Seed User 16,user16@example.com,password8
Seed User 17,user17@example.com,password8
Seed User 18,user18@example.com,password8
Seed User 19,user19@example.com,password8
Seed User 20,user20@example.com,password8
